model,score_test,accuracy,balanced_accuracy,f1,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge_BAG_L1,0.5156695156695157,0.575,0.5156695156695157,0.6851851851851852,0.6510430306858309,f1_macro,0.04762578010559082,0.023904085159301758,3.684170961380005,0.04762578010559082,0.023904085159301758,3.684170961380005,1,True,11
RandomForest_r15_BAG_L1,0.5141065830721003,0.6125,0.5185185185185186,0.7327586206896551,0.6323626232952633,f1_macro,0.08432149887084961,0.06266260147094727,0.854440450668335,0.08432149887084961,0.06266260147094727,0.854440450668335,1,True,79
CatBoost_r86_BAG_L1,0.5134502923976608,0.59375,0.5146011396011396,0.7111111111111111,0.6168077009421596,f1_macro,0.013297080993652344,0.0164945125579834,4.207027435302734,0.013297080993652344,0.0164945125579834,4.207027435302734,1,True,50
LightGBM_r135_BAG_L1,0.5134502923976608,0.59375,0.5146011396011396,0.7111111111111111,0.657589537866879,f1_macro,0.01752328872680664,0.013682126998901367,2.030630111694336,0.01752328872680664,0.013682126998901367,2.030630111694336,1,True,80
LightGBM_r96_BAG_L1,0.5118230358504958,0.6,0.5142450142450142,0.7192982456140351,0.6514603486765175,f1_macro,0.02550649642944336,0.025582313537597656,3.057800531387329,0.02550649642944336,0.025582313537597656,3.057800531387329,1,True,17
XGBoost_r89_BAG_L1,0.5109634551495017,0.56875,0.511039886039886,0.6790697674418604,0.6553235300181428,f1_macro,0.04535961151123047,0.020113468170166016,2.303774356842041,0.04535961151123047,0.020113468170166016,2.303774356842041,1,True,27
XGBoost_r22_BAG_L1,0.5109634551495017,0.56875,0.511039886039886,0.6790697674418604,0.6527227730615789,f1_macro,0.050446510314941406,0.027789592742919922,2.695674419403076,0.050446510314941406,0.027789592742919922,2.695674419403076,1,True,81
XGBoost_r33_BAG_L1,0.5109634551495017,0.56875,0.511039886039886,0.6790697674418604,0.6382527536062272,f1_macro,0.0834815502166748,0.042940378189086914,6.314527988433838,0.0834815502166748,0.042940378189086914,6.314527988433838,1,True,19
NeuralNetFastAI_r102_BAG_L2,0.5062857142857143,0.6625,0.5306267806267806,0.784,0.6856338594551121,f1_macro,0.7697772979736328,0.7094402313232422,51.028911113739014,0.03849005699157715,0.05995798110961914,3.0807278156280518,2,True,107
CatBoost_r9_BAG_L1,0.5054545454545455,0.575,0.5056980056980057,0.6909090909090909,0.6097197495252688,f1_macro,0.012567520141601562,0.015491008758544922,4.39430832862854,0.012567520141601562,0.015491008758544922,4.39430832862854,1,True,16
NeuralNetFastAI_r143_BAG_L2,0.5036984013361966,0.675,0.534900284900285,0.7952755905511811,0.6957537577365164,f1_macro,0.7743144035339355,0.7042956352233887,51.35556507110596,0.04302716255187988,0.054813385009765625,3.407381772994995,2,True,124
CatBoost_r13_BAG_L1,0.5029184710977217,0.5875,0.5049857549857549,0.7079646017699115,0.6142382986036206,f1_macro,0.011856555938720703,0.01953125,5.6061811447143555,0.011856555938720703,0.01953125,5.6061811447143555,1,True,23
RandomForestEntr_BAG_L1,0.5027379014355483,0.60625,0.5089031339031339,0.7296137339055794,0.6164919712202266,f1_macro,0.0955650806427002,0.06615781784057617,0.6648139953613281,0.0955650806427002,0.06615781784057617,0.6648139953613281,1,True,4
